target,beta,method_key,step,sample_idx,seq_len_full,seq_len_semantic,tokens_full_json,tokens_semantic_json
In-Distribution,10,exact_guidance_u,179,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,180,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,181,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,182,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,183,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,184,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,185,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,186,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,187,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,188,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,189,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,190,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,191,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,192,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,193,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,194,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,195,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,196,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,197,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,198,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,199,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,200,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
